FinancialYear,HBT2014,HBT2014QF,ICD10Codes,ICD10CodesQF,DischargeCount,DischargeRates,DischargeRatesQF,PatientsCount,PatientsRates,PatientRatesQF,HospitalResidentsCount,HospitalResidentsRates,HospitalResidentsRatesQF
1997/98,S08000017, ,Non F Codes, ,20,13.47, ,20,13.47, ,10,6.73, 
1997/98,S08000017, ,"F50 - F59, F70 - F99", ,40,26.93, ,40,26.93, ,20,13.47, 
1997/98,S08000017, ,F20 - F29, ,160,107.73, ,110,74.06, ,80,53.86, 
1997/98,S08000018, ,All Codes,d,1930,556.93, ,1260,363.59, ,500,144.28, 
1997/98,S08000018, ,F60 - F69, ,90,25.97, ,40,11.54, ,10,2.89, 
1997/98,S08000018, ,F10 - F19, ,190,54.83, ,130,37.51, ,20,5.77, 
1997/98,S08000018, ,F30 - F39, ,580,167.37, ,380,109.66, ,70,20.2, 
1997/98,S08000018, ,F40 - F49, ,180,51.94, ,130,37.51, ,10,2.89, 
1997/98,S08000018, ,F00 - F09 or Chapter G and second position F00, ,340,98.11, ,250,72.14, ,240,69.26, 
1997/98,S08000018, ,Non F Codes, ,60,17.31, ,40,11.54, ,20,5.77, 
1997/98,S08000018, ,"F50 - F59, F70 - F99", ,30,8.66, ,20,5.77, ,0,0, 
1997/98,S08000018, ,F20 - F29, ,440,126.97, ,260,75.03, ,120,34.63, 
1997/98,S08000019, ,All Codes,d,1640,594.31, ,1050,380.5, ,390,141.33, 
1997/98,S08000019, ,F60 - F69, ,50,18.12, ,30,10.87, ,10,3.62, 
1997/98,S08000019, ,F10 - F19, ,220,79.72, ,150,54.36, ,10,3.62, 
1997/98,S08000019, ,F30 - F39, ,470,170.32, ,320,115.96, ,50,18.12, 
1997/98,S08000019, ,F40 - F49, ,170,61.61, ,130,47.11, ,10,3.62, 
1997/98,S08000019, ,F00 - F09 or Chapter G and second position F00, ,380,137.71, ,220,79.72, ,150,54.36, 
1997/98,S08000019, ,Non F Codes, ,20,7.25, ,10,3.62, ,20,7.25, 
1997/98,S08000019, ,"F50 - F59, F70 - F99", ,10,3.62, ,10,3.62, ,0,0, 
1997/98,S08000019, ,F20 - F29, ,310,112.34, ,180,65.23, ,140,50.73, 
1997/98,S08000020, ,All Codes,d,2430,458.08, ,1740,328, ,650,122.53, 
1997/98,S08000020, ,F60 - F69, ,90,16.97, ,60,11.31, ,10,1.89, 
1997/98,S08000020, ,F10 - F19, ,270,50.9, ,210,39.59, ,20,3.77, 
1997/98,S08000020, ,F30 - F39, ,750,141.38, ,550,103.68, ,110,20.74, 
1997/98,S08000020, ,F40 - F49, ,180,33.93, ,140,26.39, ,10,1.89, 
1997/98,S08000020, ,F00 - F09 or Chapter G and second position F00, ,580,109.33, ,410,77.29, ,320,60.32, 
1997/98,S08000020, ,Non F Codes, ,40,7.54, ,30,5.66, ,30,5.66, 
1997/98,S08000020, ,"F50 - F59, F70 - F99", ,20,3.77, ,20,3.77, ,10,1.89, 
1997/98,S08000020, ,F20 - F29, ,490,92.37, ,320,60.32, ,140,26.39, 
1997/98,S08000021, ,All Codes,d,8690,758.76, ,5950,519.52, ,2200,192.09, 
1997/98,S08000021, ,F60 - F69, ,360,31.43, ,220,19.21, ,30,2.62, 
1997/98,S08000021, ,F10 - F19, ,1700,148.43, ,1160,101.28, ,180,15.72, 
1997/98,S08000021, ,F30 - F39, ,2320,202.57, ,1660,144.94, ,330,28.81, 
1997/98,S08000021, ,F40 - F49, ,430,37.55, ,320,27.94, ,30,2.62, 
1997/98,S08000021, ,F00 - F09 or Chapter G and second position F00, ,1630,142.32, ,1110,96.92, ,870,75.96, 
1997/98,S08000021, ,Non F Codes, ,100,8.73, ,70,6.11, ,90,7.86, 
1997/98,S08000021, ,"F50 - F59, F70 - F99", ,170,14.84, ,130,11.35, ,40,3.49, 
1997/98,S08000021, ,F20 - F29, ,1990,173.76, ,1280,111.76, ,630,55.01, 
1997/98,S08000022, ,All Codes,d,2080,692.69, ,1470,489.54, ,350,116.56, 
1997/98,S08000022, ,F60 - F69, ,90,29.97, ,60,19.98, ,10,3.33, 
1997/98,S08000022, ,F10 - F19, ,560,186.49, ,440,146.53, ,30,9.99, 
1997/98,S08000022, ,F30 - F39, ,480,159.85, ,340,113.23, ,60,19.98, 
1997/98,S08000022, ,F40 - F49, ,140,46.62, ,110,36.63, ,10,3.33, 
1997/98,S08000022, ,F00 - F09 or Chapter G and second position F00, ,360,119.89, ,220,73.26, ,130,43.29, 
1997/98,S08000022, ,Non F Codes, ,100,33.3, ,60,19.98, ,20,6.66, 
1997/98,S08000022, ,"F50 - F59, F70 - F99", ,10,3.33, ,10,3.33, ,0,0, 
1997/98,S08000022, ,F20 - F29, ,340,113.23, ,230,76.6, ,90,29.97, 
1997/98,S08000023, ,All Codes,d,2520,401.95, ,1750,279.13, ,680,108.46, 
1997/98,S08000023, ,F60 - F69, ,60,9.57, ,40,6.38, ,20,3.19, 
1997/98,S08000023, ,F10 - F19, ,460,73.37, ,350,55.83, ,40,6.38, 
1997/98,S08000023, ,F30 - F39, ,760,121.22, ,540,86.13, ,100,15.95, 
1997/98,S08000023, ,F40 - F49, ,160,25.52, ,130,20.74, ,10,1.6, 
1997/98,S08000023, ,F00 - F09 or Chapter G and second position F00, ,390,62.21, ,280,44.66, ,300,47.85, 
1997/98,S08000023, ,Non F Codes, ,230,36.69, ,70,11.17, ,30,4.79, 
1997/98,S08000023, ,"F50 - F59, F70 - F99", ,30,4.79, ,20,3.19, ,0,0, 
1997/98,S08000023, ,F20 - F29, ,440,70.18, ,310,49.45, ,180,28.71, 
1997/98,S08000024, ,All Codes,d,5540,724.39, ,3540,462.88, ,1140,149.06, 
1997/98,S08000024, ,F60 - F69, ,110,14.38, ,60,7.85, ,20,2.62, 
1997/98,S08000024, ,F10 - F19, ,850,111.14, ,580,75.84, ,70,9.15, 
1997/98,S08000024, ,F30 - F39, ,1710,223.59, ,1120,146.45, ,170,22.23, 
1997/98,S08000024, ,F40 - F49, ,430,56.23, ,300,39.23, ,20,2.62, 
1997/98,S08000024, ,F00 - F09 or Chapter G and second position F00, ,1320,172.6, ,780,101.99, ,460,60.15, 
1997/98,S08000024, ,Non F Codes, ,80,10.46, ,50,6.54, ,30,3.92, 
1997/98,S08000024, ,"F50 - F59, F70 - F99", ,30,3.92, ,20,2.62, ,20,2.62, 
1997/98,S08000024, ,F20 - F29, ,1010,132.06, ,620,81.07, ,360,47.07, 
1997/98,S08000027, ,All Codes,d,2980,753.8, ,2040,516.02, ,780,197.3, 
1997/98,S08000027, ,F60 - F69, ,120,30.35, ,50,12.65, ,10,2.53, 
1997/98,S08000027, ,F10 - F19, ,570,144.18, ,390,98.65, ,40,10.12, 
1997/98,S08000027, ,F30 - F39, ,840,212.48, ,580,146.71, ,120,30.35, 
1997/98,S08000027, ,F40 - F49, ,270,68.3, ,180,45.53, ,10,2.53, 
1997/98,S08000027, ,F00 - F09 or Chapter G and second position F00, ,520,131.54, ,410,103.71, ,320,80.95, 
1997/98,S08000027, ,Non F Codes, ,50,12.65, ,40,10.12, ,40,10.12, 
1997/98,S08000027, ,"F50 - F59, F70 - F99", ,50,12.65, ,40,10.12, ,20,5.06, 
1997/98,S08000027, ,F20 - F29, ,560,141.65, ,350,88.53, ,220,55.65, 
1997/98,S08000028, ,All Codes,d,190,680.76, ,110,394.12, ,30,107.49, 
1997/98,S08000028, ,F60 - F69, ,10,35.83, ,0,0, ,0,0, 
1997/98,S08000028, ,F10 - F19, ,10,35.83, ,10,35.83, ,0,0, 
1997/98,S08000028, ,F30 - F39, ,70,250.81, ,50,179.15, ,0,0, 
1997/98,S08000028, ,F40 - F49, ,10,35.83, ,10,35.83, ,0,0, 
1997/98,S08000028, ,F00 - F09 or Chapter G and second position F00, ,70,250.81, ,30,107.49, ,10,35.83, 
1997/98,S08000028, ,Non F Codes, ,10,35.83, ,10,35.83, ,0,0, 
1997/98,S08000028, ,"F50 - F59, F70 - F99", ,0,0, ,0,0, ,0,0, 
1997/98,S08000028, ,F20 - F29, ,10,35.83, ,10,35.83, ,0,0, 
1997/98,S92000003,d,All Codes,d,32300,635.41, ,21530,423.54, ,7840,154.23, 
1997/98,S92000003,d,F60 - F69, ,1170,23.02, ,620,12.2, ,150,2.95, 
1997/98,S92000003,d,F10 - F19, ,5680,111.74, ,3940,77.51, ,470,9.25, 
1997/98,S92000003,d,F30 - F39, ,8880,174.69, ,6130,120.59, ,1120,22.03, 
1997/98,S92000003,d,F40 - F49, ,2460,48.39, ,1770,34.82, ,150,2.95, 
1997/98,S92000003,d,F00 - F09 or Chapter G and second position F00, ,6600,129.84, ,4360,85.77, ,3200,62.95, 
1997/98,S92000003,d,Non F Codes, ,780,15.34, ,450,8.85, ,360,7.08, 
1997/98,S92000003,d,"F50 - F59, F70 - F99", ,440,8.66, ,340,6.69, ,180,3.54, 
1997/98,S92000003,d,F20 - F29, ,6300,123.93, ,3920,77.11, ,2220,43.67, 
1997/98,SB0802, ,All Codes,d,80, ,:,80, ,:,230, ,:
1997/98,SB0802, ,F60 - F69, ,10, ,:,10, ,:,20, ,:
1997/98,SB0802, ,F10 - F19, ,0, ,:,0, ,:,0, ,:
1997/98,SB0802, ,F30 - F39, ,10, ,:,10, ,:,10, ,:
1997/98,SB0802, ,F40 - F49, ,0, ,:,0, ,:,0, ,:
1997/98,SB0802, ,F00 - F09 or Chapter G and second position F00, ,0, ,:,0, ,:,0, ,:
1997/98,SB0802, ,Non F Codes, ,0, ,:,0, ,:,10, ,:
1997/98,SB0802, ,"F50 - F59, F70 - F99", ,10, ,:,10, ,:,30, ,:
1997/98,SB0802, ,F20 - F29, ,40, ,:,40, ,:,160, ,:
1998/99,S08000015, ,All Codes,d,2700,726.22, ,1810,486.83, ,470,126.42, 
1998/99,S08000015, ,F60 - F69, ,90,24.21, ,40,10.76, ,10,2.69, 
1998/99,S08000015, ,F10 - F19, ,620,166.76, ,430,115.66, ,40,10.76, 
1998/99,S08000015, ,F30 - F39, ,590,158.69, ,390,104.9, ,50,13.45, 
1998/99,S08000015, ,F40 - F49, ,290,78, ,230,61.86, ,20,5.38, 
1998/99,S08000015, ,F00 - F09 or Chapter G and second position F00, ,690,185.59, ,420,112.97, ,210,56.48, 
1998/99,S08000015, ,Non F Codes, ,40,10.76, ,40,10.76, ,10,2.69, 
1998/99,S08000015, ,"F50 - F59, F70 - F99", ,30,8.07, ,20,5.38, ,20,5.38, 
1998/99,S08000015, ,F20 - F29, ,360,96.83, ,250,67.24, ,100,26.9, 
1998/99,S08000016, ,All Codes,d,650,612.98, ,450,424.37, ,120,113.16, 
1998/99,S08000016, ,F60 - F69, ,30,28.29, ,20,18.86, ,0,0, 
1998/99,S08000016, ,F10 - F19, ,70,66.01, ,60,56.58, ,0,0, 
1998/99,S08000016, ,F30 - F39, ,150,141.46, ,110,103.73, ,20,18.86, 
1998/99,S08000016, ,F40 - F49, ,80,75.44, ,60,56.58, ,0,0, 
1998/99,S08000016, ,F00 - F09 or Chapter G and second position F00, ,180,169.75, ,130,122.6, ,60,56.58, 
1998/99,S08000016, ,Non F Codes, ,30,28.29, ,20,18.86, ,0,0, 
1998/99,S08000016, ,"F50 - F59, F70 - F99", ,0,0, ,0,0, ,0,0, 
1998/99,S08000016, ,F20 - F29, ,110,103.73, ,60,56.58, ,30,28.29, 
1998/99,S08000017, ,All Codes,d,870,584.91, ,650,437, ,230,154.63, 
1998/99,S08000017, ,F60 - F69, ,60,40.34, ,30,20.17, ,0,0, 
1998/99,S08000017, ,F10 - F19, ,110,73.95, ,90,60.51, ,10,6.72, 
1998/99,S08000017, ,F30 - F39, ,170,114.29, ,130,87.4, ,30,20.17, 
1998/99,S08000017, ,F40 - F49, ,90,60.51, ,70,47.06, ,10,6.72, 
1998/99,S08000017, ,F00 - F09 or Chapter G and second position F00, ,190,127.74, ,150,100.85, ,90,60.51, 
1998/99,S08000017, ,Non F Codes, ,20,13.45, ,20,13.45, ,10,6.72, 
1998/99,S08000017, ,"F50 - F59, F70 - F99", ,40,26.89, ,40,26.89, ,10,6.72, 
1998/99,S08000017, ,F20 - F29, ,180,121.02, ,120,80.68, ,70,47.06, 
1998/99,S08000018, ,All Codes,d,1980,571.36, ,1290,372.25, ,480,138.51, 
1998/99,S08000018, ,F60 - F69, ,100,28.86, ,50,14.43, ,10,2.89, 
1998/99,S08000018, ,F10 - F19, ,200,57.71, ,150,43.29, ,10,2.89, 
1998/99,S08000018, ,F30 - F39, ,590,170.25, ,400,115.43, ,60,17.31, 
1998/99,S08000018, ,F40 - F49, ,240,69.26, ,170,49.06, ,10,2.89, 
1998/99,S08000018, ,F00 - F09 or Chapter G and second position F00, ,370,106.77, ,250,72.14, ,220,63.48, 
1998/99,S08000018, ,Non F Codes, ,50,14.43, ,40,11.54, ,30,8.66, 
1998/99,S08000018, ,"F50 - F59, F70 - F99", ,30,8.66, ,20,5.77, ,10,2.89, 
1998/99,S08000018, ,F20 - F29, ,410,118.31, ,230,66.37, ,130,37.51, 
1998/99,S08000019, ,All Codes,d,1450,523.52, ,980,353.83, ,330,119.15, 
1998/99,S08000019, ,F60 - F69, ,40,14.44, ,20,7.22, ,10,3.61, 
1998/99,S08000019, ,F10 - F19, ,170,61.38, ,130,46.94, ,10,3.61, 
1998/99,S08000019, ,F30 - F39, ,400,144.42, ,290,104.7, ,50,18.05, 
1998/99,S08000019, ,F40 - F49, ,160,57.77, ,110,39.72, ,10,3.61, 
1998/99,S08000019, ,F00 - F09 or Chapter G and second position F00, ,320,115.54, ,200,72.21, ,110,39.72, 
1998/99,S08000019, ,Non F Codes, ,20,7.22, ,10,3.61, ,20,7.22, 
1998/99,S08000019, ,"F50 - F59, F70 - F99", ,20,7.22, ,10,3.61, ,0,0, 
1998/99,S08000019, ,F20 - F29, ,330,119.15, ,210,75.82, ,130,46.94, 
1998/99,S08000020, ,All Codes,d,2720,514.5, ,1870,353.72, ,610,115.38, 
1998/99,S08000020, ,F60 - F69, ,150,28.37, ,80,15.13, ,10,1.89, 
1998/99,S08000020, ,F10 - F19, ,290,54.85, ,220,41.61, ,30,5.67, 
1998/99,S08000020, ,F30 - F39, ,820,155.11, ,570,107.82, ,90,17.02, 
1998/99,S08000020, ,F40 - F49, ,200,37.83, ,160,30.26, ,10,1.89, 
1998/99,S08000020, ,F00 - F09 or Chapter G and second position F00, ,570,107.82, ,390,73.77, ,290,54.85, 
1998/99,S08000020, ,Non F Codes, ,40,7.57, ,30,5.67, ,30,5.67, 
1998/99,S08000020, ,"F50 - F59, F70 - F99", ,30,5.67, ,20,3.78, ,0,0, 
1998/99,S08000020, ,F20 - F29, ,620,117.28, ,400,75.66, ,140,26.48, 
1998/99,S08000021, ,All Codes,d,8290,726.88, ,5820,510.31, ,2010,176.24, 
1998/99,S08000021, ,F60 - F69, ,390,34.2, ,220,19.29, ,30,2.63, 
1998/99,S08000021, ,F10 - F19, ,1630,142.92, ,1180,103.46, ,160,14.03, 
1998/99,S08000021, ,F30 - F39, ,2320,203.42, ,1660,145.55, ,300,26.3, 
1998/99,S08000021, ,F40 - F49, ,300,26.3, ,240,21.04, ,20,1.75, 
1998/99,S08000021, ,F00 - F09 or Chapter G and second position F00, ,1340,117.49, ,980,85.93, ,770,67.51, 
1998/99,S08000021, ,Non F Codes, ,170,14.91, ,140,12.28, ,80,7.01, 
1998/99,S08000021, ,"F50 - F59, F70 - F99", ,190,16.66, ,160,14.03, ,40,3.51, 
1998/99,S08000021, ,F20 - F29, ,1940,170.1, ,1240,108.73, ,610,53.49, 
1998/99,S08000022, ,All Codes,d,2080,692.13, ,1450,482.5, ,360,119.79, 
1998/99,S08000022, ,F60 - F69, ,120,39.93, ,60,19.97, ,10,3.33, 
1998/99,S08000022, ,F10 - F19, ,590,196.33, ,440,146.41, ,40,13.31, 
1998/99,S08000022, ,F30 - F39, ,460,153.07, ,340,113.14, ,60,19.97, 
1998/99,S08000022, ,F40 - F49, ,140,46.59, ,100,33.28, ,0,0, 
1998/99,S08000022, ,F00 - F09 or Chapter G and second position F00, ,320,106.48, ,200,66.55, ,120,39.93, 
1998/99,S08000022, ,Non F Codes, ,90,29.95, ,40,13.31, ,20,6.66, 
1998/99,S08000022, ,"F50 - F59, F70 - F99", ,20,6.66, ,20,6.66, ,0,0, 
1998/99,S08000022, ,F20 - F29, ,340,113.14, ,240,79.86, ,90,29.95, 
1998/99,S08000023, ,All Codes,d,2810,449.23, ,1910,305.35, ,670,107.11, 
1998/99,S08000023, ,F60 - F69, ,80,12.79, ,50,7.99, ,20,3.2, 
1998/99,S08000023, ,F10 - F19, ,400,63.95, ,300,47.96, ,30,4.8, 
1998/99,S08000023, ,F30 - F39, ,940,150.28, ,700,111.91, ,110,17.59, 
1998/99,S08000023, ,F40 - F49, ,140,22.38, ,110,17.59, ,10,1.6, 
1998/99,S08000023, ,F00 - F09 or Chapter G and second position F00, ,480,76.74, ,330,52.76, ,300,47.96, 
1998/99,S08000023, ,Non F Codes, ,260,41.57, ,100,15.99, ,30,4.8, 
1998/99,S08000023, ,"F50 - F59, F70 - F99", ,20,3.2, ,20,3.2, ,0,0, 
1998/99,S08000023, ,F20 - F29, ,480,76.74, ,300,47.96, ,170,27.18, 
1998/99,S08000024, ,All Codes,d,5400,703.2, ,3440,447.96, ,1070,139.34, 
1998/99,S08000024, ,F60 - F69, ,160,20.84, ,90,11.72, ,20,2.6, 
1998/99,S08000024, ,F10 - F19, ,760,98.97, ,530,69.02, ,70,9.12, 
1998/99,S08000024, ,F30 - F39, ,1590,207.05, ,1050,136.73, ,150,19.53, 
1998/99,S08000024, ,F40 - F49, ,430,56, ,290,37.76, ,20,2.6, 
1998/99,S08000024, ,F00 - F09 or Chapter G and second position F00, ,1190,154.96, ,700,91.16, ,450,58.6, 
1998/99,S08000024, ,Non F Codes, ,70,9.12, ,60,7.81, ,20,2.6, 
1998/99,S08000024, ,"F50 - F59, F70 - F99", ,40,5.21, ,30,3.91, ,20,2.6, 
1998/99,S08000024, ,F20 - F29, ,1160,151.06, ,690,89.85, ,330,42.97, 
1998/99,S08000027, ,All Codes,d,3000,761.32, ,2080,527.85, ,700,177.64, 
1998/99,S08000027, ,F60 - F69, ,90,22.84, ,50,12.69, ,0,0, 
1998/99,S08000027, ,F10 - F19, ,540,137.04, ,390,98.97, ,30,7.61, 
1998/99,S08000027, ,F30 - F39, ,880,223.32, ,600,152.26, ,100,25.38, 
1998/99,S08000027, ,F40 - F49, ,230,58.37, ,160,40.6, ,10,2.54, 
1998/99,S08000027, ,F00 - F09 or Chapter G and second position F00, ,540,137.04, ,420,106.59, ,280,71.06, 
1998/99,S08000027, ,Non F Codes, ,40,10.15, ,30,7.61, ,40,10.15, 
1998/99,S08000027, ,"F50 - F59, F70 - F99", ,40,10.15, ,40,10.15, ,20,5.08, 
1998/99,S08000027, ,F20 - F29, ,640,162.42, ,390,98.97, ,220,55.83, 
1998/99,S08000028, ,All Codes,d,40,145.24, ,40,145.24, ,40,145.24, 
1998/99,S08000028, ,F60 - F69, ,0,0, ,0,0, ,0,0, 
1998/99,S08000028, ,F10 - F19, ,0,0, ,0,0, ,0,0, 
1998/99,S08000028, ,F30 - F39, ,10,36.31, ,10,36.31, ,0,0, 
1998/99,S08000028, ,F40 - F49, ,0,0, ,0,0, ,0,0, 
1998/99,S08000028, ,F00 - F09 or Chapter G and second position F00, ,10,36.31, ,10,36.31, ,10,36.31, 
1998/99,S08000028, ,Non F Codes, ,10,36.31, ,10,36.31, ,20,72.62, 
1998/99,S08000028, ,"F50 - F59, F70 - F99", ,0,0, ,0,0, ,0,0, 
1998/99,S08000028, ,F20 - F29, ,10,36.31, ,0,0, ,0,0, 
1998/99,S92000003,d,All Codes,d,32060,631.47, ,21560,424.65, ,7330,144.37, 
1998/99,S92000003,d,F60 - F69, ,1300,25.61, ,690,13.59, ,140,2.76, 
1998/99,S92000003,d,F10 - F19, ,5390,106.16, ,3860,76.03, ,440,8.67, 
1998/99,S92000003,d,F30 - F39, ,8930,175.89, ,6190,121.92, ,1030,20.29, 
1998/99,S92000003,d,F40 - F49, ,2300,45.3, ,1680,33.09, ,120,2.36, 
1998/99,S92000003,d,F00 - F09 or Chapter G and second position F00, ,6200,122.12, ,4170,82.13, ,2920,57.51, 
1998/99,S92000003,d,Non F Codes, ,850,16.74, ,520,10.24, ,360,7.09, 
1998/99,S92000003,d,"F50 - F59, F70 - F99", ,470,9.26, ,380,7.48, ,150,2.95, 
1998/99,S92000003,d,F20 - F29, ,6620,130.39, ,4070,80.16, ,2160,42.54, 
1998/99,SB0802, ,All Codes,d,60, ,:,60, ,:,250, ,:
1998/99,SB0802, ,F60 - F69, ,0, ,:,0, ,:,20, ,:
1998/99,SB0802, ,F10 - F19, ,0, ,:,0, ,:,0, ,:
1998/99,SB0802, ,F30 - F39, ,10, ,:,10, ,:,10, ,:
1998/99,SB0802, ,F40 - F49, ,0, ,:,0, ,:,0, ,:
1998/99,SB0802, ,F00 - F09 or Chapter G and second position F00, ,0, ,:,0, ,:,10, ,:
1998/99,SB0802, ,Non F Codes, ,0, ,:,0, ,:,10, ,:
1998/99,SB0802, ,"F50 - F59, F70 - F99", ,0, ,:,0, ,:,30, ,:
1998/99,SB0802, ,F20 - F29, ,40, ,:,40, ,:,170, ,:
1999/00,S08000015, ,All Codes,d,2460,663.86, ,1630,439.87, ,450,121.44, 
1999/00,S08000015, ,F60 - F69, ,90,24.29, ,50,13.49, ,20,5.4, 
1999/00,S08000015, ,F10 - F19, ,580,156.52, ,410,110.64, ,40,10.79, 
1999/00,S08000015, ,F30 - F39, ,470,126.84, ,320,86.36, ,50,13.49, 
1999/00,S08000015, ,F40 - F49, ,240,64.77, ,180,48.58, ,10,2.7, 
1999/00,S08000015, ,F00 - F09 or Chapter G and second position F00, ,650,175.41, ,360,97.15, ,200,53.97, 
1999/00,S08000015, ,Non F Codes, ,40,10.79, ,30,8.1, ,20,5.4, 
1999/00,S08000015, ,"F50 - F59, F70 - F99", ,30,8.1, ,20,5.4, ,10,2.7, 
1999/00,S08000015, ,F20 - F29, ,360,97.15, ,250,67.47, ,100,26.99, 
1999/00,S08000016, ,All Codes,d,660,623.76, ,440,415.84, ,120,113.41, 
1999/00,S08000016, ,F60 - F69, ,20,18.9, ,10,9.45, ,0,0, 
1999/00,S08000016, ,F10 - F19, ,80,75.61, ,70,66.16, ,0,0, 
1999/00,S08000016, ,F30 - F39, ,170,160.67, ,110,103.96, ,10,9.45, 
1999/00,S08000016, ,F40 - F49, ,60,56.71, ,40,37.8, ,0,0, 
1999/00,S08000016, ,F00 - F09 or Chapter G and second position F00, ,190,179.57, ,130,122.86, ,70,66.16, 
1999/00,S08000016, ,Non F Codes, ,10,9.45, ,10,9.45, ,0,0, 
1999/00,S08000016, ,"F50 - F59, F70 - F99", ,10,9.45, ,10,9.45, ,0,0, 
1999/00,S08000016, ,F20 - F29, ,120,113.41, ,60,56.71, ,30,28.35, 
1999/00,S08000017, ,All Codes,d,760,512.72, ,570,384.54, ,200,134.93, 
1999/00,S08000017, ,F60 - F69, ,40,26.99, ,20,13.49, ,10,6.75, 
1999/00,S08000017, ,F10 - F19, ,90,60.72, ,70,47.22, ,10,6.75, 
1999/00,S08000017, ,F30 - F39, ,200,134.93, ,150,101.19, ,30,20.24, 
1999/00,S08000017, ,F40 - F49, ,100,67.46, ,70,47.22, ,0,0, 
1999/00,S08000017, ,F00 - F09 or Chapter G and second position F00, ,140,94.45, ,120,80.96, ,70,47.22, 
1999/00,S08000017, ,Non F Codes, ,10,6.75, ,10,6.75, ,10,6.75, 
1999/00,S08000017, ,"F50 - F59, F70 - F99", ,30,20.24, ,20,13.49, ,0,0, 
1999/00,S08000017, ,F20 - F29, ,140,94.45, ,110,74.21, ,60,40.48, 
1999/00,S08000018, ,All Codes,d,1900,547.5, ,1240,357.32, ,450,129.67, 
1999/00,S08000018, ,F60 - F69, ,90,25.93, ,40,11.53, ,10,2.88, 
1999/00,S08000018, ,F10 - F19, ,240,69.16, ,170,48.99, ,20,5.76, 
1999/00,S08000018, ,F30 - F39, ,530,152.72, ,340,97.97, ,60,17.29, 
1999/00,S08000018, ,F40 - F49, ,170,48.99, ,120,34.58, ,10,2.88, 
1999/00,S08000018, ,F00 - F09 or Chapter G and second position F00, ,350,100.86, ,240,69.16, ,190,54.75, 
1999/00,S08000018, ,Non F Codes, ,70,20.17, ,50,14.41, ,30,8.64, 
1999/00,S08000018, ,"F50 - F59, F70 - F99", ,50,14.41, ,30,8.64, ,0,0, 
1999/00,S08000018, ,F20 - F29, ,410,118.15, ,250,72.04, ,140,40.34, 
1999/00,S08000019, ,All Codes,d,1220,438.44, ,860,309.06, ,300,107.81, 
1999/00,S08000019, ,F60 - F69, ,70,25.16, ,40,14.38, ,10,3.59, 
1999/00,S08000019, ,F10 - F19, ,150,53.91, ,120,43.13, ,0,0, 
1999/00,S08000019, ,F30 - F39, ,340,122.19, ,250,89.84, ,50,17.97, 
1999/00,S08000019, ,F40 - F49, ,120,43.13, ,90,32.34, ,0,0, 
1999/00,S08000019, ,F00 - F09 or Chapter G and second position F00, ,200,71.88, ,140,50.31, ,110,39.53, 
1999/00,S08000019, ,Non F Codes, ,20,7.19, ,10,3.59, ,20,7.19, 
